I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
['S05', 'S01', 'S02']
['S04']
['S03']
Loading images  ../dataset/*.jpeg ['S05', 'S01', 'S02']
Number of images: 18600
Number of rows: 256
Number of cols: 256
Dataset array size:  (18600, 256, 256, 1)
Loading images  ../dataset/*.jpeg ['S04']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
Loading images  ../dataset/*.jpeg ['S03']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(18600, 256, 256, 1)
(6200, 256, 256, 1)
(6200, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45532.1094 | Layer 1 | Epoch 1  |
|           100 |    43364.8164 | Layer 1 | Epoch 1  |
|           200 |    40553.5703 | Layer 1 | Epoch 1  |
|           300 |    38365.6094 | Layer 1 | Epoch 1  |
|           400 |    37013.5547 | Layer 1 | Epoch 1  |
|           500 |    35861.1172 | Layer 1 | Epoch 1  |
|           600 |    35269.5000 | Layer 1 | Epoch 1  |
|           700 |    34303.8984 | Layer 1 | Epoch 1  |
|           800 |    33924.0820 | Layer 1 | Epoch 1  |
|           900 |    33748.3281 | Layer 1 | Epoch 1  |
|          1000 |    33216.4336 | Layer 1 | Epoch 1  |
|          1100 |    32749.8672 | Layer 1 | Epoch 1  |
|          1200 |    32354.1895 | Layer 1 | Epoch 1  |
|          1300 |    32713.7676 | Layer 1 | Epoch 1  |
|          1400 |    32436.2910 | Layer 1 | Epoch 1  |
|          1500 |    31927.0195 | Layer 1 | Epoch 1  |
|          1600 |    31570.1504 | Layer 1 | Epoch 1  |
|          1700 |    31540.7344 | Layer 1 | Epoch 1  |
|          1800 |    31474.0859 | Layer 1 | Epoch 1  |
|          1900 |    31582.3301 | Layer 1 | Epoch 1  |
|          2000 |    31503.1094 | Layer 1 | Epoch 1  |
|          2100 |    31005.0117 | Layer 1 | Epoch 1  |
|          2200 |    30805.7012 | Layer 1 | Epoch 1  |
|          2300 |    31012.4648 | Layer 1 | Epoch 1  |
|          2400 |    30887.9453 | Layer 1 | Epoch 1  |
|          2500 |    30494.2910 | Layer 1 | Epoch 1  |
|          2600 |    30812.2500 | Layer 1 | Epoch 1  |
